ImageID,Labels,Caption
21753.jpg,1 2 4,A woman and a girl standing in the street talking to another woman through the window.
251.jpg,1,The group of people are playing video games together.
22941.jpg,1,A woman talking on a cell phone walking down a street.
618.jpg,3,A giraffe standing on top of a lush green field
17090.jpg,1,a person in a body of water with a surf board
6362.jpg,1 10 3 6,A group of four red buses parked in front of tall buildings.
24680.jpg,7,A silver train traveling down tracks near a forest.
28329.jpg,17,A cat and a home computer on a desk.
15874.jpg,1,A standing clock on a sidewalk outside of a store.
22653.jpg,1 2 15,A bicyclist uses an iphone while sitting on a bench.
25721.jpg,1 3 4 6 10,Single black car stopped at a red light.
21403.jpg,1,A man looking in the mirror and toothbrushes
8765.jpg,1,a few people that are in a baseball field
19011.jpg,1,a tal tower with a clock on the top of it
29152.jpg,1 4,A couple of people and some motor bikes.
8270.jpg,1,A couple of people in a room with remotes.
18488.jpg,4,a motorcycle parked near a door of a building
8336.jpg,1,A plate of food containing a sandwich and some fruit is resting on a table.
5403.jpg,1 4 13 7,A train that has people standing by the railing on the front.
12729.jpg,17,A cat laying on top of a blue umbrella.
1474.jpg,1,A man laying on his stomach on top of a bear statue.
10540.jpg,9,A boat is pulled up onto a flat beach
15473.jpg,9,a small boat in a body of water
17934.jpg,1,A woman wearing a blue clown fro wig while holding a tennis racquet.
13469.jpg,8 1,A small group of giraffes gathering together to munch on some leaves.
10372.jpg,8 10 3,A sign giving directions two to the right Ferguson and Rekela one to the left Bristol.
9070.jpg,3,Street sign advising to turn left for Shanks Avenue
1713.jpg,1,A man holding an infant on his lap as the infant eats.
19999.jpg,1,People standing in line to check in at an airport.
3995.jpg,1,Two images of people playing a video game together.
465.jpg,17,The cat is sitting inside the packed suitcase.
20533.jpg,1,A young girl is holding a black  umbrella.
19455.jpg,17,"CAT LOOKING AWAY FROM A COMPUTER, AND LOTS OF TOYS AND BOOKS"
26407.jpg,1,A boy in green jersey holding a baseball bat.
708.jpg,1,A man uses his phone to take a selfie.
22373.jpg,1,A man riding skis down a snow covered slope.
21358.jpg,1,A man pulling out food from a pizza oven stove.
21069.jpg,1,A kid standing over a with a plate of donuts.
7907.jpg,16,A picture of some animals in the grass.
1256.jpg,1,A cut in half sandwich sitting on top of a napkin.
15705.jpg,1,A man pitching a baseball while wearing a catchers mitt.
4716.jpg,1,A young girl flying a red kite outside of a grey building.
13002.jpg,1 2 3 10 11,A person on a bike in front of a car.
6418.jpg,1,A pair of men doing tricks on skateboards off of rails.
24292.jpg,18,A dog sits on a couch with pillows.
21319.jpg,1 18 19,A jester figurine sits on a front shelf of a storefront window.
12347.jpg,8 1 3 4,a person riding a scooter wearing a helmet
23684.jpg,9 1,a boat with some boxes and people on it
16490.jpg,1,A boy playing against a man in ping pong.
8293.jpg,1,Two pizzas and some beer are sitting on a table.
2554.jpg,1,Black and white photograph of a skate boarder climbing his board
11897.jpg,1,A group of three men playing a game of soccer.
16164.jpg,8 5,An white airplane parked in a parking lot.
1338.jpg,1,"A man surfing with titling that reads spray."""""
27668.jpg,1 6,A large green bus driving down a street.
24721.jpg,1 19,A rodeo rider atop a wildly bucking bronco.
19126.jpg,15,A close up view of a wooden park bench.
25203.jpg,16 6,Local 18 bus parking in a parking lot.
24116.jpg,1,A group of people playing a game that involves Nintendo Wii controllers.
25019.jpg,1 6 7,a woman standing outside a buidling as she looks at her cell phone
5365.jpg,1,"A bathroom area with sink, trashcan and toilet."
10722.jpg,7,A train with graffiti on the front is moseying on down the tracks.
6676.jpg,13,there is a picture collage of a stop sign and a starbucks sign
23257.jpg,17,A gray cat lying on a floor in a room
16614.jpg,8 1 3 14,A catering van parked next to the sidewalk.
10339.jpg,1 3,A man wearing a stripped neck tie and a white shirt.
18253.jpg,3 11,a bunch of cars parked on the side of a street
2865.jpg,8 5,A grounded airplane with a boarding ramp attached.
16975.jpg,1 15,A baseball player trying to catch a ball
21597.jpg,5,A large jetliner taking off from an airport runway.
29273.jpg,1,A woman in a white dress playing a game of tennis.
3836.jpg,1,A little child walking down a small road on top of leaves.
29036.jpg,1,Two people skiing down a long snowy slope with smiles on their faces
19565.jpg,1,A man standing in a kitchen preparing food.
18145.jpg,1 4,A man riding a motorcycle while standing on top of it.
4122.jpg,1 15,A young man prepares to hit a tennis ball.
21092.jpg,1 18,a lady is sitting on a suitcase with a dog next to her
683.jpg,1,A man holding a yellow frisbee in front of a park sign.
16037.jpg,1,There is a man with his thumb up standing behind a grill.
26463.jpg,8 1,People harvesting food from a vine of plants.
17681.jpg,18,A dog is carrying a frisbee in his mouth
1291.jpg,5,A commercial airline plane taking off into flight.
19434.jpg,1,A woman with orange hair holding an umbrella.
19575.jpg,1,People splitting up a box of mixed doughnuts.
15573.jpg,3 6,A blue city bus is parked next to a bus stop.
21108.jpg,1,A woman laying in a hospital bed talking on a cell phone.
16798.jpg,15,a bench is sitting in the sand by the beach
14528.jpg,1,a man that is standing up in a kitchen with some cups
7047.jpg,16,A couple of elephants standing in the grass.
10370.jpg,1,A tennis player is holding the racket behind his back.
25855.jpg,1,A woman catching a white frisbee on a dirt field.
10475.jpg,1 7,A black and red train traveling down tracks.
14464.jpg,1,A group of people sitting on a couch with red decor.
19022.jpg,1,Two giraffe reaching through a wooden cage to kiss a woman's hand.
26610.jpg,1,A group of people walking past a store.
29930.jpg,1 3,"A large red, green and white circle stands on a tarmac."
29795.jpg,1,A man with long hair and a beanie is looking down at his hands.
22201.jpg,1,A man wearing a uniform holding a baseball bat.
26552.jpg,1,A catcher kneels in front of a baseball player sliding onto the plate.
18245.jpg,17 1,A baby boy sitting on it's stomach next to small dog.
27891.jpg,17,A cat reclines on the runner of a wooden table.
7348.jpg,10,A pedestrian crossing signal on a busy urban street with old buildings.
25148.jpg,1,A little kid that is opening up a microwave.
5474.jpg,1,Woman leans over as she serve the tennis ball back to the other side
6760.jpg,1 3,All sorts of action here between two guys playing soccer.
9410.jpg,1,an image of a man holding a tennis racket
8500.jpg,1 10 7,A passenger train just approaching a train station
15353.jpg,1,A woman holding a brown teddy bear in her arms.
8971.jpg,1,A person sitting down holding a microphone with two hands.
14171.jpg,1,A man with a fully peeled banana in his hand and to his mouth.
1383.jpg,1,A kite is currently being flown high in the air.
15337.jpg,1,A man with mouth wide open is about to eat a sugared doughnut.
2441.jpg,4,Three black motorcycles parked on a paved road.
22032.jpg,10 3 13 7,A train coming down the tracks through a town.
22563.jpg,1 18,A beautiful woman laying down next to a large brown dog.
21835.jpg,1,A living room filled with furniture and a piano
14881.jpg,1 18,A man tossing a ball for a dog to go fetch.
20553.jpg,1,A young man sitting in front of a laptop computer.
21941.jpg,1,A man skiing on the water with his ski board
13540.jpg,1,A man in a tie and glasses is holding a cell phone in an elevator.
24069.jpg,8,A car driving down a road filled with cows and horses.
18659.jpg,1,A man sleeping in front of his laptop.
8099.jpg,1,A cake covered in globs of frosting on a table.
27608.jpg,1 3,people sitting around on the beach not doing much
11379.jpg,1,A young woman happily flies a kite in a bright blue sky.
23186.jpg,1,Woman in a blue dress holding a tennis racket at a tennis match.
16853.jpg,16 1 2 15,"Two girls in front and a boy behind, walking and eating hot dogs on a street with a vendor cart and buildings behind them."
20905.jpg,1,"A baseball player swinging at a pitch, with a runner on third."
5525.jpg,1,A couple relaxing on a mountain ski lift.
21169.jpg,1,"Skier with full gear and a flag, skiing near the top of a slope."
17171.jpg,1 18,Two or three puppies trying to play with a man's foot.
28918.jpg,8,a yellow and green truck is parked outside
431.jpg,1,Man standing in a living room holding a Wii controller in his hand.
11985.jpg,8 3 13,A stop sign on the side of a street.
14854.jpg,1,A child peeking in a pizza box at a large pizza.
27678.jpg,4,A motorcycle that is sitting in the dirt.
2751.jpg,1,A man is riding a skateboard down a road.
21491.jpg,1,a woman is making food in a blue bowl
12451.jpg,1,Young man preforming a stunt on a skateboard.
6235.jpg,1,A woman in a dress holding a suitcase.
29614.jpg,17,A Siamese cat sitting on top of a block of cement.
1866.jpg,8 1 10 3,A woman standing on the sidewalk below a streetlight.
9027.jpg,1,A table with a cate fashioned to look like a desk and laptop.
7294.jpg,1,An older man holding a glass of wine while standing between two beautiful ladies.
